"TOA5","CR1000_PB1010","CR1000","67005","CR1000.Std.27","CPU:Celestino_tower20150210kk.CR1","36111","Table1"
"TIMESTAMP","RECORD","PBID","AirTC_Max","AirTC_Min","AirTC_Avg","RH_Max","RH_Min","RH_Avg","WS_ms_Max","WS_ms_Min","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","SlrW_N_Avg","SlrW_S_Avg","PARDen_N_Avg","PARDen_S_Avg","RainTB3_mm_Tot"
"TS","RN","","Deg C","Deg C","Deg C","%","%","%","meters/second","meters/second","meters/second","Deg","Deg","W/m^2","W/m^2","umol/s*m^2","umol/s*m^2","mm"
"","","Smp","Max","Min","Avg","Max","Min","Avg","Max","Min","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Tot"
"2015-02-13 17:30:00",0,1010,21.86,21.63,21.75,92.1,90.6,91.4,9.58,3.822,6.295,3.811,12.35,60.99,63.33,117.5,124.2,0
"2015-02-13 17:35:00",1,1010,22.13,21.73,21.97,91.4,87.7,89.6,10.33,5.018,7.293,4.27,11.64,113.9,120.7,189.9,210.3,0
"2015-02-13 17:40:00",2,1010,22.3,22.03,22.18,89.3,86.8,88,11,3.058,6.955,5.011,12.19,24.96,65.18,89.9,101.8,0
"2015-02-13 17:45:00",3,1010,22.4,22.03,22.18,89.3,86.7,87.7,12.03,3.9,7.622,10.37,15.12,20.73,23.12,41.27,44.42,0
"2015-02-13 17:50:00",4,1010,22.13,21.83,21.94,90.5,89,89.7,10.35,4.822,7.803,7.745,12.89,15.37,16.31,34.12,35.55,0
"2015-02-13 17:55:00",5,1010,21.97,21.69,21.82,90.6,89.4,90,9.98,4.508,7.394,4.668,17.18,12.57,13.37,27.63,28.79,0
"2015-02-13 18:00:00",6,1010,22,21.73,21.86,90.1,88.1,89.4,9.84,3.156,7.372,5.351,17.69,16.81,17.79,38.52,39.68,0
"2015-02-13 18:05:00",7,1010,22.17,21.86,22.02,88.7,87.2,87.9,10.21,4.822,7.343,3.122,12.8,23.16,25.35,54.78,57.19,0
"2015-02-13 18:10:00",8,1010,22.37,22,22.13,87.6,86,86.9,10.27,2.96,6.928,4.333,21.62,22.99,25.08,54.76,57.01,0
"2015-02-13 18:15:00",9,1010,22.3,22.03,22.16,87.8,86.2,86.8,9.72,3.92,6.652,6.572,16.53,19.54,20.81,44.47,46.76,0
"2015-02-13 18:20:00",10,1010,22.47,22.1,22.29,86.6,83,84.8,12.92,3.861,7.639,4.141,19.47,10.91,11.82,20.37,21.66,0
"2015-02-13 18:25:00",11,1010,22.68,22.34,22.49,83.4,82.2,82.8,11.09,5.566,8.34,0.708,9.93,4.229,4.518,12.91,13.41,0
"2015-02-13 18:30:00",12,1010,22.61,22.44,22.52,83.4,82.1,82.9,10.6,5.214,7.328,3.271,20.4,2.298,2.482,6.916,7.232,0
"2015-02-13 18:35:00",13,1010,22.64,22.37,22.49,83.3,82.1,82.8,10.19,3.861,7.735,4.358,12.77,0.829,0.951,1.939,2.021,0
"2015-02-13 18:40:00",14,1010,22.61,22.4,22.53,82.8,82.1,82.4,11.9,2.43,8.07,359.4,16.96,0.601,0.618,1.212,1.237,0
"2015-02-13 18:45:00",15,1010,22.68,22.44,22.53,83.2,82.2,82.7,11.15,4.038,7.607,3.027,20.69,0.334,0.328,0.429,0.446,0
"2015-02-13 18:50:00",16,1010,22.64,22.4,22.53,83.1,82,82.6,10.92,4.645,7.375,359.2,16.08,0.056,0.1,0.105,0.103,0
"2015-02-13 18:55:00",17,1010,22.74,22.44,22.58,82.7,81.6,82,10.29,3.802,7.011,6.342,13.67,0,0,0.016,0.017,0
"2015-02-13 19:00:00",18,1010,22.78,22.47,22.61,82.5,81.5,82,10.31,3.704,7.273,5.728,23.85,0,0,0.001,0.001,0
"2015-02-13 19:05:00",19,1010,22.68,22.37,22.52,83.2,81.8,82.7,10.84,3.469,6.951,10.2,13.05,0,0,0,0,0
"2015-02-13 19:10:00",20,1010,22.74,22.51,22.64,82.6,81.7,82.1,9.43,2.724,7.137,16.33,23.49,0,0,0,0,0
"2015-02-13 19:15:00",21,1010,22.71,22.51,22.61,82.7,82.1,82.4,9.04,3.998,6.679,10.36,13.95,0,0,0,0,0
"2015-02-13 19:20:00",22,1010,22.78,22.51,22.63,82.9,82.3,82.5,10.23,4.802,7.177,14.68,13.63,0,0,0,0,0
"2015-02-13 19:25:00",23,1010,22.74,22.51,22.58,83.2,82.6,82.9,9.53,3.391,6.281,1.744,17.23,0,0,0,0,0
"2015-02-13 19:30:00",24,1010,22.74,22.44,22.58,83.2,82.3,82.7,10.53,3.763,6.64,3.767,10.31,0,0,0,0,0
"2015-02-13 19:35:00",25,1010,22.71,22.47,22.58,83,81.9,82.6,9.88,3.626,6.581,6.49,15.32,0,0,0,0,0
"2015-02-13 19:40:00",26,1010,22.78,22.51,22.65,82.8,81.8,82.3,9,3.175,5.951,4.298,12.55,0,0,0,0,0
"2015-02-13 19:45:00",27,1010,22.71,22.44,22.55,83.2,82,82.7,9.11,3.881,6.077,359.1,12.04,0,0,0,0,0
"2015-02-13 19:50:00",28,1010,22.74,22.47,22.6,82.6,82.2,82.4,9.04,4.096,6.838,1.745,20.4,0,0,0,0,0
"2015-02-13 19:55:00",29,1010,22.81,22.51,22.63,82.9,82.1,82.5,8.68,2.901,5.932,359.5,11.82,0,0,0,0,0
"2015-02-13 20:00:00",30,1010,22.74,22.51,22.63,83.2,82.3,82.7,10.25,1.705,6.849,358.4,12.19,0,0,0,0,0
"2015-02-13 20:05:00",31,1010,22.81,22.51,22.69,83.2,82.4,82.7,10.72,4.92,7.728,358.7,16.95,0,0,0,0,0
"2015-02-13 20:10:00",32,1010,22.81,22.54,22.67,84.1,82.8,83.4,9.37,4.449,6.929,359.1,10.74,0,0,0,0,0
