"TOA5","Celestino_tower","CR1000","67005","CR1000.Std.27","CPU:Celestino_tower20160729kk.CR1","61813","Table1"
"TIMESTAMP","RECORD","PBID","AirTC_Max","AirTC_Min","AirTC_Avg","RH_Max","RH_Min","RH_Avg","WS_ms_Max","WS_ms_Min","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","SlrW_N_Avg","SlrW_S_Avg","PARDen_N_Avg","PARDen_S_Avg","RainTB3N_mm_Tot","RainTB3S_mm_Tot"
"TS","RN","","Deg C","Deg C","Deg C","%","%","%","meters/second","meters/second","meters/second","Deg","Deg","W/m^2","W/m^2","umol/s*m^2","umol/s*m^2","mm","mm"
"","","Smp","Max","Min","Avg","Max","Min","Avg","Max","Min","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Tot","Tot"
"2016-07-29 11:05:00",0,1010,26.15,25.88,26,89.3,87.2,88.1,2.038,0,1.403,271.6,19.32,175.7,170.8,390.3,402.5,0,0.254
"2016-07-29 11:10:00",1,1010,26.05,25.74,25.9,91.3,87.5,89,1.921,0.529,1.152,287.8,19.87,275.7,270.9,632.3,645.8,0.254,0
"2016-07-29 11:15:00",2,1010,26.18,25.84,26.02,92.7,89.9,91.1,2.176,0,0.824,254.8,17.4,264.2,262.8,626.1,639.9,0,0
"2016-07-29 11:20:00",3,1010,26.45,26.08,26.29,92.9,87.3,90.7,1.588,0,0.804,58.58,26.99,144,138.7,329.5,334.5,0,0
"2016-07-29 11:25:00",4,1010,26.32,25.98,26.13,91.9,86.9,89.3,2.156,0,1.153,62.57,15.31,183.6,181.4,448.3,462.8,0,0
"2016-07-29 11:30:00",5,1010,26.08,25.58,25.85,91.1,88.3,89.9,3.234,1.901,2.711,40.76,8.66,194.2,195,491.9,506.7,0,0
"2016-07-29 11:35:00",6,1010,25.68,24.77,25.21,91.4,84.6,87.4,5.076,2.489,3.854,45.29,8.69,193.2,194.3,492.3,506.3,0,0
"2016-07-29 11:40:00",7,1010,24.84,24.43,24.58,86.5,80.2,83.2,4.449,1.784,3.15,35.15,10.69,172.6,173.7,435.2,451.4,0,0
"2016-07-29 11:45:00",8,1010,24.53,24.23,24.37,86.6,81.9,84.3,3.469,1.607,2.514,35.46,6.556,143.9,144,359.2,375.9,0,0
"2016-07-29 11:50:00",9,1010,24.84,24.23,24.54,83.1,79.35,80.9,3.391,0,1.514,44.99,20.4,119.7,118.8,295,308.2,0,0
"2016-07-29 11:55:00",10,1010,24.94,24.54,24.65,89,80.6,84.5,1.882,0,0.45,255.6,40.34,96.4,94.5,233.2,242.1,0,0
"2016-07-29 12:00:00",11,1010,24.7,24.4,24.54,89.5,83.1,86.2,3.097,1.568,2.31,305.5,15.36,88.2,86.9,210.7,219.8,0,0
"2016-07-29 12:05:00",12,1010,24.7,24.03,24.29,91.4,86.1,89.5,3.959,1.646,2.894,331.2,11.44,81.7,81.4,196.7,205.6,0,0
"2016-07-29 12:10:00",13,1010,24.2,23.73,23.92,95.5,91.4,93.4,5.488,2.744,4.063,342.1,14.85,75.09,74.13,176.7,184.4,0,0
"2016-07-29 12:15:00",14,1010,23.83,23.29,23.58,97,95.4,96.5,6.527,3.41,4.872,333.3,9.68,70.15,69.15,165.4,172,0,0
"2016-07-29 12:20:00",15,1010,23.42,23.05,23.24,97,94.8,96.2,5.135,1.47,3.294,314.4,15.91,79.12,79.27,191.1,200.7,0,0
"2016-07-29 12:25:00",16,1010,23.33,23.09,23.21,95.5,94.7,95.1,5.704,1.744,3.072,283,17.03,72.76,72.3,174.4,182.3,0,0
"2016-07-29 12:30:00",17,1010,23.33,23.06,23.16,96.2,95.3,95.7,6.566,2.234,4.111,295.2,12.82,65.65,64.1,156.1,161.3,0,0
"2016-07-29 12:35:00",18,1010,23.16,22.75,22.95,96.9,96.2,96.6,5.468,2.019,3.927,310.6,14.97,66.82,65.83,161.1,167,0,0
"2016-07-29 12:40:00",19,1010,22.85,22.35,22.57,96.9,95.6,96.3,4.939,2.411,3.868,318.9,11.32,70.85,70.74,172.4,180.2,0,0
"2016-07-29 12:45:00",20,1010,22.59,22.28,22.41,95.9,95.4,95.7,3.45,1.588,2.287,339.1,9.62,70.2,70.27,170,177.9,0,0
"2016-07-29 12:50:00",21,1010,22.52,22.29,22.38,96.1,95.5,95.9,3.783,2.391,3.073,345.1,8.15,68.37,68.31,164.9,172.2,0,0
"2016-07-29 12:55:00",22,1010,22.42,22.19,22.32,95.9,94.5,95.2,3.94,2.607,3.242,1.961,5.421,66.76,66.47,160.7,167.3,0,0
"2016-07-29 13:00:00",23,1010,22.49,22.25,22.36,94.7,94.1,94.3,3.312,1.784,2.343,352.4,7.732,65.52,65.02,157.7,163.6,0,0
"2016-07-29 13:05:00",24,1010,22.56,22.29,22.43,94.5,93.8,94.1,2.313,0.843,1.63,339,7.615,64.77,64.07,155.8,161.3,0,0
"2016-07-29 13:10:00",25,1010,22.87,22.43,22.66,93.8,89.2,91.7,2.685,1.372,2.052,323.4,6.045,65.76,64.72,157.8,162.8,0,0
"2016-07-29 13:15:00",26,1010,23.14,22.8,22.97,89.4,87,87.8,2.744,2.195,2.484,324.3,8.49,68.61,67.11,163.9,168.6,0,0
"2016-07-29 13:20:00",27,1010,23.17,22.9,23.03,92.1,87.8,90.5,2.685,0.745,1.927,339.7,11.89,73.64,71.52,174.9,178.8,0,0
"2016-07-29 13:25:00",28,1010,23.03,22.76,22.88,92.6,91.6,92.2,2.94,1.156,2.197,321,9.42,83,79.64,194.4,197.2,0,0
"2016-07-29 13:30:00",29,1010,22.87,22.66,22.77,94.1,92.7,93.4,3.175,1.607,2.381,356.8,9.94,99.3,93.7,228.2,229.1,0,0
"2016-07-29 13:35:00",30,1010,22.9,22.63,22.77,94.1,93.2,93.8,2.744,1.666,2.268,0.879,3.14,124.9,116.4,282.2,281.3,0,0
"2016-07-29 13:40:00",31,1010,23.04,22.73,22.88,93.8,91.9,92.7,2.842,1.705,2.334,350.6,7.777,159.1,147.8,355.2,353.6,0,0
"2016-07-29 13:45:00",32,1010,23.17,22.87,23.03,93.9,92.7,93.2,2.274,1.352,1.747,340.3,6.806,202.9,188.6,449.6,447.4,0,0
"2016-07-29 13:50:00",33,1010,23.68,23.07,23.35,93.1,91.5,92.3,2.274,0.745,1.472,333.7,10.68,254.5,238.6,562.4,562.1,0,0
"2016-07-29 13:55:00",34,1010,24.12,23.58,23.83,92.7,87.1,89.2,1.842,0.784,1.299,302.5,11.77,319.2,301.6,702.6,705.2,0,0
"2016-07-29 14:00:00",35,1010,24.46,24.02,24.23,91.4,87.7,89.4,2.117,1.098,1.613,326.2,12.05,385.7,366.8,848,854,0,0
"2016-07-29 14:05:00",36,1010,24.86,24.29,24.61,89.9,84.6,87.6,3.822,1.294,2.397,322.6,7.614,467.2,447.4,1028,1040,0,0
"2016-07-29 14:10:00",37,1010,24.83,24.42,24.62,90.3,83.8,86.3,4.273,1.333,2.434,314.4,11.76,513,493.9,1134,1149,0,0
"2016-07-29 14:15:00",38,1010,24.83,24.46,24.63,87.5,82.8,85.1,4.763,2.038,3.403,320.7,11.44,535.1,517.5,1188,1204,0,0
