Site Name ,FORESTMIDDLE
Site Number ,2
Logger ,Capacitive Water Level
Logger Serial Number ,6572


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/09/2016 , 19:10:26,438,50
2,22/09/2016 , 19:10:36,434,48
3,22/09/2016 , 19:10:46,434,48
4,22/09/2016 , 19:10:56,438,50
5,22/09/2016 , 19:11:06,438,50
6,22/09/2016 , 19:11:16,438,50
7,22/09/2016 , 19:11:26,439,50.5
8,22/09/2016 , 19:11:36,438,50
9,22/09/2016 , 19:11:46,438,50
10,22/09/2016 , 19:11:56,438,50
11,22/09/2016 , 19:12:06,438,50
12,22/09/2016 , 19:12:16,439,50.5
13,22/09/2016 , 19:12:26,441,51.5
14,22/09/2016 , 19:12:36,441,51.5
15,22/09/2016 , 19:12:46,455,58.6
16,22/09/2016 , 19:12:56,455,58.6
17,22/09/2016 , 19:13:06,455,58.6
18,22/09/2016 , 19:13:16,454,58.1
19,22/09/2016 , 19:13:26,454,58.1
20,22/09/2016 , 19:13:36,454,58.1
21,22/09/2016 , 19:13:46,454,58.1
22,22/09/2016 , 19:13:56,454,58.1
23,22/09/2016 , 19:14:06,454,58.1
24,22/09/2016 , 19:14:16,484,73.2
25,22/09/2016 , 19:14:26,484,73.2
26,22/09/2016 , 19:14:36,501,81.8
27,22/09/2016 , 19:14:46,520,91.4
28,22/09/2016 , 19:14:56,520,91.4
29,22/09/2016 , 19:15:06,520,91.4
30,22/09/2016 , 19:15:16,554,108.6
31,22/09/2016 , 19:15:26,554,108.6
32,22/09/2016 , 19:15:36,554,108.6
33,22/09/2016 , 19:15:46,570,116.7
34,22/09/2016 , 19:15:56,589,126.3
35,22/09/2016 , 19:16:06,589,126.3
36,22/09/2016 , 19:16:16,589,126.3
37,22/09/2016 , 19:16:26,589,126.3
38,22/09/2016 , 19:16:36,589,126.3
39,22/09/2016 , 19:16:46,589,126.3
40,22/09/2016 , 19:16:56,623,143.4
41,22/09/2016 , 19:17:06,623,143.4
42,22/09/2016 , 19:17:16,623,143.4
43,22/09/2016 , 19:17:26,657,160.6
44,22/09/2016 , 19:17:36,656,160.1
45,22/09/2016 , 19:17:46,656,160.1
46,22/09/2016 , 19:17:56,663,163.6
47,22/09/2016 , 19:18:06,689,176.8
48,22/09/2016 , 19:18:16,689,176.8
49,22/09/2016 , 19:18:26,689,176.8
50,22/09/2016 , 19:18:36,721,192.9
51,22/09/2016 , 19:18:46,722,193.4
52,22/09/2016 , 19:18:56,722,193.4
53,22/09/2016 , 19:19:06,722,193.4
54,22/09/2016 , 19:19:16,753,209.1
55,22/09/2016 , 19:19:26,754,209.6
56,22/09/2016 , 19:19:36,754,209.6
57,22/09/2016 , 19:19:46,787,226.3
58,22/09/2016 , 19:19:56,787,226.3
59,22/09/2016 , 19:20:06,787,226.3
60,22/09/2016 , 19:20:16,791,228.3
61,22/09/2016 , 19:20:26,819,242.4
62,22/09/2016 , 19:20:36,819,242.4
63,22/09/2016 , 19:20:46,819,242.4
64,22/09/2016 , 19:20:56,851,258.6
65,22/09/2016 , 19:21:06,850,258.1
66,22/09/2016 , 19:21:16,850,258.1
67,22/09/2016 , 19:21:26,850,258.1
68,22/09/2016 , 19:21:36,850,258.1
69,22/09/2016 , 19:21:46,850,258.1
70,22/09/2016 , 19:21:56,850,258.1
71,22/09/2016 , 19:22:06,881,273.7
72,22/09/2016 , 19:22:16,881,273.7
73,22/09/2016 , 19:22:26,881,273.7
74,22/09/2016 , 19:22:36,911,288.9
75,22/09/2016 , 19:22:46,911,288.9
76,22/09/2016 , 19:22:56,911,288.9
77,22/09/2016 , 19:23:06,914,290.4
78,22/09/2016 , 19:23:16,941,304
79,22/09/2016 , 19:23:26,941,304
80,22/09/2016 , 19:23:36,941,304
81,22/09/2016 , 19:23:46,941,304
82,22/09/2016 , 19:23:56,941,304
83,22/09/2016 , 19:24:06,943,305.1
