Site Name ,FORESTMIDDLE
Site Number ,2
Logger ,Capacitive Water Level
Logger Serial Number ,6572


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,25/09/2016 , 22:55:24,437,49.5
2,25/09/2016 , 22:55:34,432,47
3,25/09/2016 , 22:55:44,432,47
4,25/09/2016 , 22:55:54,430,46
5,25/09/2016 , 22:56:04,435,48.5
6,25/09/2016 , 22:56:14,430,46
7,25/09/2016 , 22:56:24,430,46
8,25/09/2016 , 22:56:34,430,46
9,25/09/2016 , 22:56:44,430,46
10,25/09/2016 , 22:56:54,436,49
11,25/09/2016 , 22:57:04,436,49
12,25/09/2016 , 22:57:14,436,49
13,25/09/2016 , 22:57:24,439,50.5
14,25/09/2016 , 22:57:34,430,46
15,25/09/2016 , 22:57:44,434,48
16,25/09/2016 , 22:57:54,431,46.5
17,25/09/2016 , 22:58:04,431,46.5
18,25/09/2016 , 22:58:14,431,46.5
19,25/09/2016 , 22:58:24,431,46.5
20,25/09/2016 , 22:58:34,431,46.5
21,25/09/2016 , 22:58:44,431,46.5
22,25/09/2016 , 22:58:54,437,49.5
23,25/09/2016 , 22:59:04,436,49
24,25/09/2016 , 22:59:14,436,49
25,25/09/2016 , 22:59:24,436,49
26,25/09/2016 , 22:59:34,436,49
27,25/09/2016 , 22:59:44,436,49
28,25/09/2016 , 22:59:54,436,49
29,25/09/2016 , 23:00:04,436,49
30,25/09/2016 , 23:00:14,436,49
31,25/09/2016 , 23:00:24,436,49
32,25/09/2016 , 23:00:34,436,49
33,25/09/2016 , 23:00:44,436,49
34,25/09/2016 , 23:00:54,436,49
35,25/09/2016 , 23:01:04,436,49
36,25/09/2016 , 23:01:14,438,50
37,25/09/2016 , 23:01:24,437,49.5
38,25/09/2016 , 23:01:34,437,49.5
39,25/09/2016 , 23:01:44,437,49.5
40,25/09/2016 , 23:01:54,437,49.5
41,25/09/2016 , 23:02:04,437,49.5
42,25/09/2016 , 23:02:14,437,49.5
43,25/09/2016 , 23:02:24,437,49.5
44,25/09/2016 , 23:02:34,437,49.5
45,25/09/2016 , 23:02:44,437,49.5
46,25/09/2016 , 23:02:54,442,52
47,25/09/2016 , 23:03:04,442,52
48,25/09/2016 , 23:03:14,442,52
49,25/09/2016 , 23:03:24,442,52
50,25/09/2016 , 23:03:34,447,54.5
51,25/09/2016 , 23:03:44,447,54.5
52,25/09/2016 , 23:03:54,447,54.5
53,25/09/2016 , 23:04:04,447,54.5
54,25/09/2016 , 23:04:14,453,57.6
55,25/09/2016 , 23:04:24,453,57.6
56,25/09/2016 , 23:04:34,453,57.6
57,25/09/2016 , 23:04:44,453,57.6
58,25/09/2016 , 23:04:54,459,60.6
59,25/09/2016 , 23:05:04,464,63.1
60,25/09/2016 , 23:05:14,464,63.1
61,25/09/2016 , 23:05:24,465,63.6
62,25/09/2016 , 23:05:34,465,63.6
63,25/09/2016 , 23:05:44,484,73.2
64,25/09/2016 , 23:05:54,483,72.7
65,25/09/2016 , 23:06:04,483,72.7
66,25/09/2016 , 23:06:14,483,72.7
67,25/09/2016 , 23:06:24,486,74.2
68,25/09/2016 , 23:06:34,501,81.8
69,25/09/2016 , 23:06:44,501,81.8
70,25/09/2016 , 23:06:54,501,81.8
71,25/09/2016 , 23:07:04,501,81.8
72,25/09/2016 , 23:07:14,519,90.9
73,25/09/2016 , 23:07:24,519,90.9
74,25/09/2016 , 23:07:34,519,90.9
75,25/09/2016 , 23:07:44,519,90.9
76,25/09/2016 , 23:07:54,536,99.5
77,25/09/2016 , 23:08:04,537,100
78,25/09/2016 , 23:08:14,537,100
79,25/09/2016 , 23:08:24,537,100
80,25/09/2016 , 23:08:34,537,100
81,25/09/2016 , 23:08:44,554,108.6
82,25/09/2016 , 23:08:54,554,108.6
83,25/09/2016 , 23:09:04,554,108.6
84,25/09/2016 , 23:09:14,554,108.6
85,25/09/2016 , 23:09:24,554,108.6
86,25/09/2016 , 23:09:34,572,117.7
87,25/09/2016 , 23:09:44,571,117.2
88,25/09/2016 , 23:09:54,571,117.2
89,25/09/2016 , 23:10:04,572,117.7
90,25/09/2016 , 23:10:14,589,126.3
91,25/09/2016 , 23:10:24,589,126.3
92,25/09/2016 , 23:10:34,589,126.3
93,25/09/2016 , 23:10:44,589,126.3
94,25/09/2016 , 23:10:54,605,134.3
95,25/09/2016 , 23:11:04,605,134.3
96,25/09/2016 , 23:11:14,605,134.3
97,25/09/2016 , 23:11:24,606,134.8
98,25/09/2016 , 23:11:34,606,134.8
99,25/09/2016 , 23:11:44,622,142.9
100,25/09/2016 , 23:11:54,622,142.9
101,25/09/2016 , 23:12:04,622,142.9
102,25/09/2016 , 23:12:14,622,142.9
103,25/09/2016 , 23:12:24,639,151.5
104,25/09/2016 , 23:12:34,639,151.5
105,25/09/2016 , 23:12:44,639,151.5
